reaction_id,reduced_cost,abs_reduced_cost,rank
CYP710_ERG5,-2.0714285714285707,2.0714285714285707,1
ERG4_7ENOL,-2.0000000000000013,2.0000000000000013,2
C4DEMETH_BRANCH,2.644733230376623e-15,2.644733230376623e-15,3
ERG28,1.13301749170397e-15,1.13301749170397e-15,4
STE1_ERG3,-1.9201464042128122e-16,1.9201464042128122e-16,5
MERGTROLR,-1.4599500863096305e-16,1.4599500863096305e-16,6
CDI1_BRANCH,-1.313285059719064e-16,1.313285059719064e-16,7
HYD1,9.071609895312491e-17,9.071609895312491e-17,8
ERG5,7.563827855679295e-17,7.563827855679295e-17,9
CYEUOLCYCI,-7.478376023981513e-17,7.478376023981513e-17,10
SMT1_CROSS,-7.436152836159194e-17,7.436152836159194e-17,11
SMT1_2ND,-7.436152836159194e-17,7.436152836159194e-17,12
CAS,-6.308504094853115e-17,6.308504094853115e-17,13
ERG3,5.122145241909342e-17,5.122145241909342e-17,14
CYEUOLS,2.4500155165317186e-17,2.4500155165317186e-17,15
SMO,1.6212421169224145e-17,1.6212421169224145e-17,16
OBFOOLOR,1.585557317490596e-17,1.585557317490596e-17,17
ERG4_ERGSTRL,7.462611796450482e-18,7.462611796450482e-18,18
ERG4_7DEHYD,-2.2241848839048988e-31,2.2241848839048988e-31,19
CYARTMT,0.0,0.0,20
