reaction_id,nutrient,step_ub,mu,normalized_mu,status
PIt,Phosphate,0.0,0.07142857142857313,1.0000000000000022,optimal
PIt,Phosphate,0.0006269592476489769,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.0012539184952979538,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.001880877742946931,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.0025078369905959077,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.0031347962382448848,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.003761755485893862,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.004388714733542839,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.005015673981191815,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.005642633228840793,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.0062695924764897696,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.006896551724138747,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.007523510971787724,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.0081504702194367,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.008777429467085677,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.009404388714734653,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.01003134796238363,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.01065830721003261,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.011285266457681586,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.011912225705330563,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.012539184952979539,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.013166144200628517,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.013793103448277494,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.01442006269592647,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.015047021943575448,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.015673981191224425,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.0163009404388734,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.016927899686522377,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.017554858934171354,0.07142857142857084,0.9999999999999701,optimal
PIt,Phosphate,0.018181818181820332,0.07142857142857084,0.9999999999999701,optimal
